,hotel,price,period,owner,city,rate
228,Quaint English Cottage Garden Apt.,‎SR281‎,‎‎  ليلة,مضيف متميز,لوريلهيرست · بورتلاند,4.90
229,⭐Stunning Sky Loft ❤w. Private Rooftop Terrace⭐,‎SR454‎,‎‎  ليلة,مضيف متميز,ريفرديل · تورونتو,4.85
230,Spacious! Shibuya House w/Garden,‎SR934‎,‎‎  ليلة,,منطقة شيبويا · Shibuya-ku,4.93
231,Industrial vintage home,‎SR131‎,‎‎  ليلة,مضيف متميز,بيست · بودابست,4.87
232,Woodbine Retreat,‎SR375‎,‎‎  ليلة,مضيف متميز,ناشفيل,4.86
233,BOSTON 2 Room + private bath for 3 walk to Train,‎SR300‎,‎‎  ليلة,مضيف متميز,جامايكا بلين · بوسطن,4.78
234,"Eco-luxury, family-friendly villa","‎SR1,444‎",‎‎  ليلة,مضيف متميز,بالي · أوبود,4.87
235,Sunny & Spacious Central Apartment,‎SR394‎,‎‎  ليلة,مضيف متميز,نيو تاون · إدنبره,4.92
236,"Ricefield view two-bedroom, wifi, pool, kitchen",‎SR266‎,‎‎  ليلة,مضيف متميز,بالي · أوبود,4.95
237,Little Island B&B [ free parking ],‎SR210‎,‎‎  ليلة,,إيزولوتو-ليجنايا · فلورنسا,4.80
238,"Colosseum Dream Casa, Rome city center.",‎SR248‎,‎‎  ليلة,مضيف متميز,مونتي · روما,4.78
239,"BIG, BEAUTIFUL, BRIGHT & TWO BIKES!",‎SR169‎,‎‎  ليلة,مضيف متميز,بيست · بودابست,4.89
240,"Chic designer-rustic, 14th & U Neighborhood, Metro",‎SR259‎,‎‎  ليلة,مضيف متميز,U Street Corridor · واشنطن,4.94
241,Loft design apartment over the City,‎SR281‎,‎‎  ليلة,مضيف متميز,بيست · بودابست,4.79
242,Oceanfront 14th Floor Brand New Beachfront Flat,‎SR371‎,‎‎  ليلة,مضيف متميز,ميامي بيتش,4.86
243,"免费WIFI,地铁站5分钟,10分种步行稲荷大社,坐地铁10分到京都站,交通便利,餐厅便利店超市俱全",‎SR139‎,‎‎  ليلة,,Fushimi-ku · Kyōto-shi,4.73
244,Large · Hip District · Near Centre · Stylish Apt!,‎SR150‎,‎‎  ليلة,,Prague 3 · براغ,4.66
245,Bright apartment in vibrant Fitzroy,‎SR356‎,‎‎  ليلة,مضيف متميز,كولينجوود/فيتزروي · فيتزروي,4.83
246,Stylish Lincoln Park 2BR w/patio,‎SR334‎,‎‎  ليلة,مضيف متميز,Lincoln Park · شيكاغو,4.93
247,"Airport~Portlandia's ""Rent It Out"" House",‎SR75‎,‎‎  ليلة,مضيف متميز,كولي · بورتلاند,4.64
248,Wide apartment nearby São Bento Railway Station,‎SR120‎,‎‎  ليلة,مضيف متميز,بورتو,4.77
249,Stay with a Balinese Family in eco-friendly house!,‎SR188‎,‎‎  ليلة,مضيف متميز,بالي · أوبود,4.85
250,Downtown Living: Boutique Chic Apt@CBD central,‎SR278‎,‎‎  ليلة,مضيف متميز,منطقة الأعمال المركزية · ملبورن,4.86
251,Rococo Romance: 2 Bedroom Cap Hill,‎SR431‎,‎‎  ليلة,مضيف متميز,كابيتول هيل · دنفر,4.91
252,Ponte vecchio flat,‎SR210‎,‎‎  ليلة,مضيف متميز,Centro Storico · فلورنسا,4.91
253,Charming 2 bed house & parking on pretty street,‎SR615‎,‎‎  ليلة,مضيف متميز,ستوكبريدج · إدنبره,4.91
254,Chinatown Penthouse Sanctuary,‎SR495‎,‎‎  ليلة,مضيف متميز,داونتاون إيستسايد · فانكوفر,4.81
255,"Fairfield Flat, Airy Vintage Rehab",‎SR356‎,‎‎  ليلة,مضيف متميز,القرية الصغيرة · شيكاغو,4.90
256,"7 BEDS
Renovated Artist’s Home 3 MILES TO DOWNTOWN",‎SR446‎,‎‎  ليلة,مضيف متميز,ناشفيل,4.83
257,Dream Studio hidden by Μulti level Garden,‎SR165‎,‎‎  ليلة,مضيف متميز,إكزارشيا · أثينا,4.94
258,"Bed & Boat, apartment on houseboat. Free bikes.",‎SR518‎,‎‎  ليلة,مضيف متميز,اوسدورب · أمستردام,4.91
259,Modern 2 Story Loft in Little Italy,‎SR356‎,‎‎  ليلة,مضيف متميز,ليتل إيطالي · سان دييغو,4.96
260,Chiado Loft 12 Amazing Duplex with Terrace,‎SR293‎,‎‎  ليلة,مضيف متميز,São Paulo · Lisboa,4.96
261,Casa Corazón (E) near Rush / UIC,‎SR263‎,‎‎  ليلة,مضيف متميز,Pilsen · شيكاغو,4.95
262,Nomad Townhouse,‎SR499‎,‎‎  ليلة,,بورتو,4.65
263,Edwardian Style Pacific Heights 1BD,"‎SR1,313‎",‎‎  ليلة,,Pacific Heights · سان فرانسيسكو,4.94
264,"Cozy, Private Studio Flat 21 min to downtown by GO",‎SR184‎,‎‎  ليلة,مضيف متميز,كليفكريست · تورونتو,4.89
265,Artist Loft,‎SR263‎,‎‎  ليلة,مضيف متميز,ريفرديل · تورونتو,4.84
266,TOP OF THE HILL,‎SR713‎,‎‎  ليلة,مضيف متميز,توبانجا,4.76
267,great room in Mallorca centre,‎SR248‎,‎‎  ليلة,مضيف متميز,Binissalem,4.86
268,Montgomery Place - Studio (Room 6),‎SR563‎,‎‎  ليلة,مضيف متميز,ساوث إند · بوسطن,4.96
269,Son Alegre Petit ☼ Mágica Villa ☼ Licencia ET 2844,‎SR533‎,‎‎  ليلة,مضيف متميز,سانتا مارغليدا,5.0
270,Shinjuku 3 storied House!100㎡&12pax&FREE PARKING,‎SR938‎,‎‎  ليلة,,منطقة شيبويا · Shibuya-ku,4.64
271,CASANOVA PENTHOUSE in the HEART of VENICE-RIALTO,‎SR518‎,‎‎  ليلة,مضيف متميز,"كاناريدجيو · Cannaregio, Venezia ",4.81
272,Bookseller's Sunny Flat,‎SR229‎,‎‎  ليلة,,نوف ميستو · براغ,4.69
273,DOUBLE BED & COOKED BREAKFAST,‎SR218‎,‎‎  ليلة,مضيف متميز,مارش مونت · إدنبره,4.78
274,Brownstone Studio,‎SR326‎,‎‎  ليلة,,بروكلين,4.72
275,"Sunny, Modern room in East Village!",‎SR319‎,‎‎  ليلة,مضيف متميز,Alphabet City · نيويورك,4.76
276,Historic House of 1924  next to Acropolis,‎SR315‎,‎‎  ليلة,مضيف متميز,كوكاكي · أثينا,4.79
277,Luxury room with Taipei 101 View,‎SR244‎,‎‎  ليلة,مضيف متميز,Wenshan · Taipei City,4.89
278,Luxury Self-Contained Coach House,‎SR375‎,‎‎  ليلة,مضيف متميز,جرينوود-كوكس ويل · تورونتو,4.87
279,Big 1floor 4BR 2 toilets 2bath in Shinjuku Shibuya,"‎SR1,001‎",‎‎  ليلة,مضيف متميز,منطقة شيبويا · Shibuya-ku,4.94
280,Experience a houseboat in Amsterdam,‎SR311‎,‎‎  ليلة,,ويستليجكي إيلاندين · أمستردام,4.85
281,Pettinarihome 2 Campo dei Fiori,‎SR375‎,‎‎  ليلة,مضيف متميز,روما سنترو · روما,4.90
282,CASA ALAMEDA LUXURY,‎SR454‎,‎‎  ليلة,,بيمونت ويلشاير · بورتلاند,5.0
283,JF Cozy Apartment DOWNTOWN,‎SR184‎,‎‎  ليلة,مضيف متميز,بورتو,4.78
284,Lisbon Sky View Loft - FREE WIFI,‎SR199‎,‎‎  ليلة,,Mercês · لشبونة,4.72
